HIRESName,FILENAME,RV
144287,r20140707.104,2001.1968007002858
6872B,,
13579,r20100805.125,25.1752997043119
10780,r20101214.83,-8.397522744650985
9518A,,
WASP38,,
WASP24,,
9218,r20140117.173,-18.268747100823802
203473,r20180730.110,726.9376501083673
171238,r20140812.93,40.815904945177174
200565,r20080913.112,-1507.805757892327
44420,r20170411.76,-6.535231360230597
22049,r20131212.107,30.57870194989047
121320,r20120213.181,-9.007838135961128
51419,r20101215.155,-11.7092783223366
18143,r20180819.103,40.88472453723887
19308,r20081218.179,6.766411608261193
79498,,
28185,,
29528,r20101212.158,-11.443463540136358
31966,r20101212.169,-8.012301006070977
33021,r20120903.145,-15.93445377705478
34745,r20170317.60,-7.750588033161278
35627,r20161111.76,-4.861013428049914
35974,r20061015.265,-8.754021934130776
37213,r20041024.236,-7.626089242494771
37962,r20041024.233,4.834403191438284
43745,r20101228.92,-7.003659384575617
45067,r20101229.65,17.971185938480712
36308,r20121007.148,31.062834700328242
44985,r20160204.129,-8.168661276386262
52456,r20160124.120,-6.786643807231486
32850,,
35112,,
80367,r20161123.134,-9.28225267950222
71479,r20171212.132,-8.258536533064046
63754,r20041129.238,25.027063859367424
56274,,
45588,r20101228.82,-7.988644977939185
48938,r20101228.78,-6.674455418448666
50806,r20050130.146,-5.309501943573075
51219,r20101121.167,-6.632031081253358
56303,,
67458,r20161125.124,-6.044792672707344
68978,r20101121.197,12.746130862982449
71334,r20160126.103,-5.07210267987519
76909,r20161123.125,-5.0424038512771014
58781,r20161017.137,-7.199802494470532
135599,,
131156,,
9446,r20160717.129,-117.4569631846047
30339,r20051122.288,605.5340200965347
30708,r20170730.104,-7.875340743102868
34575,r20121007.182,-5.959585834443942
42250,r20041023.234,-4.723021465769506
66171,r20120402.165,-9.96515711340844
233641,,
263175,r20151001.101,-6.94042410815274
59747,,
53927,r20151128.99,-10.08836548199997
165341A,,
16623,r20060905.237,-6.586717556874263
18445,r20171229.86,-1354.560436713939
12235,r20160729.146,-6.497936877513808
16287,r20160124.109,4005.89152131374
16275,r20080826.207,-8.346423019707489
13357,,
17190,r20171225.67,-6.546897390493744
16397,r20160711.118,-5.826234941147959
21313,r20180820.97,-10.17636806892389
21847,r20161121.127,50.6117424761822
24213,r20050128.178,-8.207472490152611
21774,r20171108.103,-8.581181884854267
22072,r20111017.215,-9.471324061850536
18632,r20100802.138,26.699632096731985
22282,r20120924.123,-6.550047696394756
HTR333-003,,
HTR285-001,,
HTR431-010,,
HTR114-009,,
101501,r20091207.240,32.35782447067848
111395,r20091207.243,-24.263928831660422
96612,r20140717.65,-10.318255436277369
K00157,,
130307,r20160921.68,17.28250251926944
110463,r20160127.137,-17.90050105271682
112914,r20170706.68,-5437.0097642882765
144872,r20170204.121,7.82556842636204
153525,r20170204.122,24.92802147099064
137778,r20140709.62,-22.472217402670196
2331,r20060715.207,3.8870443951992972
8828,r20050821.252,8.87278540583906
HTR205-23,,
HTR205-22,,
215274,,
145958B,,
83752,r20060114.189,-5751.117014826904
104389,r20060213.199,16.47481631796357
104263,r20060710.122,-3.682411941580169
110743,,
HIP61205,,
133125,r20060710.133,-2.6402862444390283
161284,r20060813.139,24.725059095072762
147752,r20060715.149,9.63453696408324
HIP87579,,
HIP91605,,
175742,r20150830.60,-4034.476155379557
129814,r20180814.69,137.1021594544236
142229,r20160126.160,358.7080060430378
HTR248-002,,
14214,,
KIC7842033,,
HTR062-011,,
202575,r20140715.126,-22.94030649883098
181234,r20140822.74,59.91666579691177
HTR093-012,,
HTR170-004,,
3684,r20070806.167,227.4110641223031
8038,r20160716.133,-12.490920033684931
9540A,,
30495,r20141211.101,30.18800542108568
EPIC202089657,,
EPIC201713348,,
101904,r20060412.178,-25.040114088338928
98281,r20060209.204,-10.57598685505582
159062,r20180819.67,-107.7574772863216
97854,r20060213.196,11.41269239213775
95622,r20060214.111,35.56666288191897
170469,r20070824.271,-18.56578164330728
85689,r20060213.172,-115.67500776482642
107181,,
122973,r20080323.281,38.607185411384286
154144,r20080323.289,-67.27803942575792
20439,r20060213.109,41.07649623125326
10008,r20170804.97,-18.181767872312072
164595,r20140726.63,-8.348772312165966
EPIC203771098,,
KIC8410697,,
EPIC201505350,,
146233,,
EPIC205071984,,
EPIC204221263,,
EPIC203826436,,
EPIC204129699,,
106088,r20070604.175,7.065647243763522
112415,,
HIP68461,,
136274,,
146050,,
147750,,
155712,r20090413.140,-9.222917861795047
166,r20061215.165,39.688166024948
17156,r20080320.108,-358.6150861638982
19659,r20040823.245,-32.187670274697034
HIP14113,,
141399,r20120526.101,-96.1273417511882
142626,,
155456,,
161479,,
HIP79308,,
156279,r20131020.73,-706.3377979443343
HIP92922,,
168603,,
185414,r20130520.161,-2424.290451395754
180161,r20170927.70,-26.626703573800302
182619,,
165173,,
165401,r20050629.79,-479.8635259382223
169889,r20160629.86,216.9739700192319
209599,r20150729.138,-5.606847821541848
182189,,
6715,r20060714.36,6.733123256849263
192310,r20160902.70,-10.963570003933949
190412,,
176733,,
208880,,
218445,r20051220.135,-7.2634206246116255
222038,r20140809.106,3270.8746861492873
15335,r20140705.102,-10.88584475828264
201651,r20071126.142,-3.1918222917956234
207485,,
207897,r20150802.115,-3.370580616818152
201924,r20150728.74,56.597005053128875
204814,r20050630.131,-6.430255214278987
208038,r20180624.63,-18.35229469888833
HIP113207,,
212733,r20150729.131,6826.220186476982
207839,r20150802.91,9.777068926884752
207992,,
215500,r20060905.164,-4.269314774347321
216191,r20060905.141,-6.809667295286563
210144,r20150725.73,9.186308275176073
215704,r20050820.197,6.553000204202707
WASP234318,,
240430,r20170703.88,-6.09698107431684
240429,r20170708.78,-4.566734874803611
175541,r20110614.60,22.890870118807157
217014,r20140911.78,-64.4446362858632
219781,r20070529.206,-6.356380324682333
219828,r20070826.181,-293.4077634712569
5946,,
8389,r20080810.156,-23.25109106926016
10015,r20061216.186,-8140.355436653235
7510,r20071124.101,5.404423023975261
222986,r20060116.138,58.52056726279437
10013,r20060904.224,1.7616820805264533
16760,,
141004,r20140220.218,15.109344908118599
27496,r20060209.151,-9.418833234437443
19617,r20111017.166,-72.64866699680726
19618,,
37605,r20060903.270,-334.041251150615
38801,r20060903.271,242.93164139423783
39094,r20180819.112,390.68365009684334
43691,r20120825.123,153.6258210527567
53532,r20070129.177,-13.481536802566108
57204,r20071124.157,19.0071599028177
57813,,
58727,,
155413,r20140724.69,-155.3002603888685
188512,r20090711.147,-16.060037672278668
HTR176-002,,
HTR188-002,,
HTR152-001,,
HTR182-001,,
HTR145-001,,
HTR191-001,,
163607,r20080624.122,-85.17287939158031
152125,r20050719.133,-4.160811992888338
120528,r20070530.158,-8.436941628246242
117122,r20120707.73,-5.529144652737778
114375,r20070530.156,1929.9460568688708
110044,r20180806.64,9.607603360800514
154325,r20050724.130,5.165675467382698
TRES2,,
175425,r20050719.157,-2.684747848837162
164330,,
163589,r20070530.169,7.023398191074891
96529,r20060214.113,6.071854482412842
HIP54498,,
101675,,
103417,,
103828,r20060213.193,-6.733698865904717
104437,r20060214.131,-3.0286805804518617
104588,r20120806.92,-14.77083823190486
238069,,
107211,,
108942,r20060214.130,-7.774340904206213
109718,,
139907,r20080323.291,-36.14309599178667
234314,r20070530.161,13.32534782811933
149750,r20050725.132,-5.6720169503881275
179079,r20131211.69,-15.622560814896701
149806,r20160922.68,23.59869920358891
144585,r20070528.152,-6.207760375049857
145958A,,
13043,r20070207.132,-15.02020927664835
9986,r20120708.169,-24.56625726717527
114613,r20070604.121,16.87038438259879
136352,r20090712.122,10.697941317960641
159868,r20100304.201,-63.537992208801825
218868,r20130629.103,15.27529472740314
224619,,
